2018/2/18,1,7
2018/2/19,1,1
2018/2/20,1,2
2018/2/21,1,3
2018/2/24,2,6
2018/4/5,1,4
2018/4/6,1,5
2018/4/7,1,6
2018/4/8,2,7
2018/4/28,2,6
2018/4/29,1,7
2018/4/30,1,1
2018/5/1,1,2
2018/6/16,1,6
2018/6/17,1,7
2018/6/18,1,1
2018/9/22,1,6
2018/9/23,1,7
2018/9/24,1,1
2018/9/29,2,6
2018/9/30,2,7
2018/10/1,1,1
2018/10/2,1,2
2018/10/3,1,3
2018/10/4,1,4
2018/10/5,1,5
2018/10/6,1,6
2018/10/7,1,7
2018/12/29,2,6
2018/12/30,1,7
2018/12/31,1,1
2019/1/1,1,2
2019/2/2,2,6
2019/2/3,2,7
2019/2/4,1,1
2019/2/5,1,2
2019/2/6,1,3
2019/2/7,1,4
2019/2/8,1,5
2019/2/9,1,6
2019/2/10,1,7
2019/4/5,1,5
2019/4/6,1,6
2019/4/7,1,7
2019/4/28,2,7
2019/5/1,1,3
2019/5/2,1,4
2019/5/3,1,5
2019/5/4,1,6
2019/5/5,2,7
2019/6/7,1,5
2019/6/8,1,6
2019/6/9,1,7
2019/9/13,1,5
2019/9/14,1,6
2019/9/15,1,7
2019/9/29,2,7
2019/10/1,1,2
2019/10/2,1,3
2019/10/3,1,4
2019/10/4,1,5
2019/10/5,1,6
2019/10/6,1,7
2019/10/7,1,1
2019/10/12,2,6
